,零件号,日期,仓库,需求数量
959,6RD959801E,2018-02-26,1000-1,45
960,6RD959801E,2018-02-27,1000-1,61
961,6RD959801E,2018-02-28,1000-1,54
962,6RD959801E,2018-03-01,1000-1,26
963,6RD959801E,2018-03-02,1000-1,23
964,6RD959801E,2018-03-03,1000-1,1
965,6RD959801E,2018-03-04,1000-1,11
966,6RD959801E,2018-03-05,1000-1,37
967,6RD959801E,2018-03-06,1000-1,28
968,6RD959801E,2018-03-07,1000-1,21
969,6RD959801E,2018-03-08,1000-1,20
970,6RD959801E,2018-03-09,1000-1,15
971,6RD959801E,2018-03-10,1000-1,1
972,6RD959801E,2018-03-11,1000-1,5
973,6RD959801E,2018-03-12,1000-1,34
974,6RD959801E,2018-03-13,1000-1,16
975,6RD959801E,2018-03-14,1000-1,55
976,6RD959801E,2018-03-15,1000-1,11
977,6RD959801E,2018-03-16,1000-1,29
978,6RD959801E,2018-03-19,1000-1,34
979,6RD959801E,2018-03-20,1000-1,76
980,6RD959801E,2018-03-21,1000-1,6
